node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
IONOPHORE	NA	NA	NA	NA	Listeria monocytogenes	0	28	28	9.627617508510126e-4	29083
mef_gen	NA	NA	NA	NA	Listeria innocua	0	28	28	0.01809954751131222	1547
lsa(E)	lsa	lsa(E)	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	Listeria monocytogenes	24	0	24	8.252243578722965e-4	29083
lnu(B)	lnu_BFG	lnu(B)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes	24	0	24	8.252243578722965e-4	29083
lsa	NA	NA	NA	NA	Listeria monocytogenes	0	24	24	8.252243578722965e-4	29083
erm(B)	erm-23S_rRNA	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Listeria monocytogenes	23	0	23	7.908400096276175e-4	29083
tet(S)	tet(M-W-O-S)	tet(S)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes	21	0	21	7.220713131382595e-4	29083
cat-TC	catA9	cat-TC	PHENICOL	CHLORAMPHENICOL	Listeria monocytogenes_B	20	0	20	6.680472977486806e-4	29938
aph(3')-IIIa	aph(3')	aph(3')-IIIa	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Listeria monocytogenes	19	0	19	6.533026166489015e-4	29083
ant(9)	NA	NA	NA	NA	Listeria monocytogenes	0	19	19	6.533026166489015e-4	29083
aph(3')	NA	NA	NA	NA	Listeria monocytogenes	0	19	19	6.533026166489015e-4	29083
mef_gen	NA	NA	NA	NA	Listeria monocytogenes_B	0	19	19	6.346449328612465e-4	29938
msr	NA	NA	NA	NA	Listeria monocytogenes_B	0	19	19	6.346449328612465e-4	29938
tet(S)	tet(M-W-O-S)	tet(S)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes_B	18	0	18	6.012425679738125e-4	29938
ant(6)-Ia	ant(6)	ant(6)-Ia	AMINOGLYCOSIDE	STREPTOMYCIN	Listeria monocytogenes	17	0	17	5.845339201595433e-4	29083
catA1	catA	catA1	PHENICOL	CHLORAMPHENICOL	Listeria monocytogenes	17	0	17	5.845339201595433e-4	29083
msr(D)	msr	msr(D)	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	Listeria monocytogenes_B	17	0	17	5.678402030863786e-4	29938
spw	ant(9)	spw	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Listeria monocytogenes	17	0	17	5.845339201595433e-4	29083
mef(A)	mef_gen	mef(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	Listeria monocytogenes_B	17	0	17	5.678402030863786e-4	29938
ant(6)	NA	NA	NA	NA	Listeria monocytogenes	0	17	17	5.845339201595433e-4	29083
catA9	catA	catA	PHENICOL	CHLORAMPHENICOL	Listeria monocytogenes	14	2	16	5.501495719148643e-4	29083
dfr_DGK	NA	NA	NA	NA	Listeria innocua	0	16	16	0.010342598577892695	1547
mdsA	RND-peri	mdsA	EFFLUX	EFFLUX	Listeria monocytogenes_B;Salmonella enterica	15	0	15	1	15
mdsB	RND-IM	mdsB	EFFLUX	EFFLUX	Listeria monocytogenes_B;Salmonella enterica	15	0	15	1	15
RND-IM	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	15	15	1	15
RND-peri	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	15	15	1	15
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria monocytogenes_B;Salmonella enterica	14	0	14	0.9333333333333333	15
narA	IONOPHORE	narA	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	Listeria monocytogenes	14	0	14	4.813808754255063e-4	29083
